speaker_id,Identifier,emotion,speaker_emo_displacement_number,displacement_peak_dist,displacment_length,displacement_rise_rate,displacement_recovery_rate,displacement_position,displacement_home-to-low_rate,displacement_low-to-home_rate,displacement_home-to-high_rate,displacement_high-to-home_rate
Emma,bookNovels,valence,1.0,0.00643031218970358,3.0,0.00321515609485179,,HIGH,,,0.00321515609485179,
Persuasion,bookNovels,valence,1.0,0.034640359157594336,2.0,0.034640359157594336,,HIGH,,,0.034640359157594336,
PrideAndPrejudice,bookNovels,valence,1.0,0.1061263245633769,1.0,,,HIGH,,,,
SignOfFour,bookNovels,valence,1.0,0.007675077200014813,1.0,,,HIGH,,,,
Emma,bookNovels,valence,2.0,0.004579030138421536,1.0,,,LOW,,,,
Persuasion,bookNovels,valence,2.0,0.023840359157594304,3.0,0.023840359157594304,0.023840359157594304,HIGH,,,0.023840359157594304,0.023840359157594304
PrideAndPrejudice,bookNovels,valence,2.0,0.13352632456337693,4.0,0.06676316228168847,0.13352632456337693,LOW,0.06676316228168847,0.13352632456337693,,
SignOfFour,bookNovels,valence,2.0,0.019475077200014734,2.0,0.019475077200014734,,HIGH,,,0.019475077200014734,
Emma,bookNovels,valence,3.0,0.04817903013842151,4.0,,0.01605967671280717,LOW,,0.01605967671280717,,
Persuasion,bookNovels,valence,3.0,0.12853068173823956,3.0,0.12853068173823956,0.12853068173823956,LOW,0.12853068173823956,0.12853068173823956,,
PrideAndPrejudice,bookNovels,valence,3.0,0.09032632456337697,5.0,0.045163162281688485,0.045163162281688485,HIGH,,,0.045163162281688485,0.045163162281688485
SignOfFour,bookNovels,valence,3.0,0.020275077200014868,1.0,,,HIGH,,,,
Emma,bookNovels,valence,4.0,0.01603031218970341,3.0,,0.008015156094851705,HIGH,,,,0.008015156094851705
Persuasion,bookNovels,valence,4.0,0.06044035915759416,2.0,,0.06044035915759416,HIGH,,,,0.06044035915759416
PrideAndPrejudice,bookNovels,valence,4.0,0.08572632456337698,1.0,,,LOW,,,,
SignOfFour,bookNovels,valence,4.0,0.009675077200014814,1.0,,,HIGH,,,,
Emma,bookNovels,valence,5.0,0.10857903013842152,4.0,0.10857903013842152,0.05428951506921076,LOW,0.10857903013842152,0.05428951506921076,,
Persuasion,bookNovels,valence,5.0,0.02993068173823954,2.0,0.02993068173823954,,LOW,0.02993068173823954,,,
SignOfFour,bookNovels,valence,5.0,0.022875077200014804,1.0,,,HIGH,,,,
SignOfFour,bookNovels,valence,6.0,0.14851832044325797,4.0,0.07425916022162898,0.14851832044325797,LOW,0.07425916022162898,0.14851832044325797,,
SignOfFour,bookNovels,valence,7.0,0.02331832044325799,1.0,,,LOW,,,,
SignOfFour,bookNovels,valence,8.0,0.008275077200014747,2.0,0.008275077200014747,,HIGH,,,0.008275077200014747,
