Identifier,speaker_id,emotion,speaker_utterance_index,global_utterance_index,speaker_rolling_window_index,speaker_word_index,speaker_word,speaker_emo_state_position,speaker_emo_state_is_peak,speaker_emo_displacement_counter,speaker_emo_displacement_number,speaker_emo_state_value,speaker_emo_in_home_base,speaker_emo_distance_home_base
bookNovels,SignOfFour,valence,1,2,0,1,fantastic,HOME,,,,0.6736,1.0,0.0
bookNovels,SignOfFour,valence,1,2,1,2,title,HIGH,1.0,0.0,1.0,0.7902,0.0,0.007675077200014813
bookNovels,SignOfFour,valence,2,8,2,3,business,HOME,,,,0.7729999999999999,1.0,0.0
bookNovels,Emma,valence,1,9,3,1,thought,HOME,,,,0.7954,1.0,0.0
bookNovels,Emma,valence,1,9,4,2,thought,HOME,,,,0.7722,1.0,0.0
bookNovels,Emma,valence,1,9,5,3,clear,HOME,,,,0.771,1.0,0.0
bookNovels,Emma,valence,1,9,6,4,wanting,HOME,,,,0.7834000000000001,1.0,0.0
bookNovels,Emma,valence,1,9,7,5,happen,HOME,,,,0.7708,1.0,0.0
bookNovels,Emma,valence,1,9,8,6,desirable,HOME,,,,0.7628,1.0,0.0
bookNovels,Emma,valence,1,9,9,7,probability,HOME,,,,0.7414,1.0,0.0
bookNovels,Emma,valence,1,9,10,8,congratulate,HOME,,,,0.7554000000000001,1.0,0.0
bookNovels,Emma,valence,1,9,11,9,dear,HOME,,,,0.7794000000000001,1.0,0.0
bookNovels,Emma,valence,1,9,12,10,feel,HIGH,0.0,-2.0,1.0,0.8044,0.0,0.003630312189703444
bookNovels,Emma,valence,1,9,13,11,pride,HIGH,0.0,-1.0,1.0,0.8022,0.0,0.0014303121897034643
bookNovels,Emma,valence,1,9,14,12,will,HIGH,1.0,0.0,1.0,0.8072000000000001,0.0,0.00643031218970358
bookNovels,Emma,valence,1,9,15,13,proper,HOME,,,,0.781,1.0,0.0
bookNovels,Emma,valence,1,9,16,14,will,HOME,,,,0.7446,1.0,0.0
bookNovels,Emma,valence,1,9,17,15,real,HOME,,,,0.728,1.0,0.0
bookNovels,Emma,valence,1,9,18,16,close,LOW,1.0,0.0,2.0,0.6406,0.0,0.004579030138421536
bookNovels,Emma,valence,1,9,19,17,confirm,HOME,,,,0.6614000000000001,1.0,0.0
bookNovels,Emma,valence,1,9,20,18,intimacy,HOME,,,,0.6736,1.0,0.0
bookNovels,Emma,valence,1,9,21,19,alliance,HOME,,,,0.6731999999999999,1.0,0.0
bookNovels,Emma,valence,1,9,22,20,raise,HOME,,,,0.7064,1.0,0.0
bookNovels,Emma,valence,1,9,23,21,blush,HOME,,,,0.7876000000000001,1.0,0.0
bookNovels,Emma,valence,2,11,24,22,will,HOME,,,,0.7668,1.0,0.0
bookNovels,Emma,valence,2,11,25,23,dare,HOME,,,,0.7308,1.0,0.0
bookNovels,Emma,valence,2,11,26,24,will,HOME,,,,0.7312000000000001,1.0,0.0
bookNovels,Emma,valence,2,11,27,25,nonsense,LOW,1.0,0.0,3.0,0.597,0.0,0.04817903013842151
bookNovels,Emma,valence,2,11,28,26,will,LOW,1.0,1.0,3.0,0.597,0.0,0.04817903013842151
bookNovels,Emma,valence,2,11,29,27,soft,LOW,0.0,2.0,3.0,0.6093999999999999,0.0,0.03577903013842154
bookNovels,Emma,valence,2,11,30,28,eyes,LOW,0.0,3.0,3.0,0.626,0.0,0.019179030138421482
bookNovels,Emma,valence,2,11,31,29,trust,HOME,,,,0.6639999999999999,1.0,0.0
bookNovels,PrideAndPrejudice,valence,1,12,32,1,education,HIGH,1.0,0.0,1.0,0.8661999999999999,0.0,0.1061263245633769
bookNovels,PrideAndPrejudice,valence,2,13,33,2,misunderstand,HOME,,,,0.71,1.0,0.0
bookNovels,PrideAndPrejudice,valence,3,15,34,3,faithful,HOME,,,,0.6998,1.0,0.0
bookNovels,PrideAndPrejudice,valence,3,15,35,4,portrait,HOME,,,,0.7026,1.0,0.0
bookNovels,PrideAndPrejudice,valence,4,17,36,5,suspend,HOME,,,,0.5798,1.0,0.0
bookNovels,PrideAndPrejudice,valence,4,17,37,6,pleasure,HOME,,,,0.5883999999999999,1.0,0.0
bookNovels,PrideAndPrejudice,valence,5,18,38,7,mistaken,HOME,,,,0.5791999999999999,1.0,0.0
bookNovels,PrideAndPrejudice,valence,5,18,39,8,attack,HOME,,,,0.4588,1.0,0.0
bookNovels,PrideAndPrejudice,valence,5,18,40,9,ignorance,LOW,0.0,-2.0,2.0,0.3498,0.0,0.06832632456337695
bookNovels,PrideAndPrejudice,valence,5,18,41,10,malice,LOW,0.0,-1.0,2.0,0.31639999999999996,0.0,0.10172632456337699
bookNovels,SignOfFour,valence,3,21,42,4,fair,HIGH,0.0,-1.0,2.0,0.7874000000000001,0.0,0.004875077200014899
bookNovels,SignOfFour,valence,3,21,43,5,professional,HIGH,1.0,0.0,2.0,0.8019999999999999,0.0,0.019475077200014734
bookNovels,SignOfFour,valence,3,21,44,6,velocity,HOME,,,,0.7428,1.0,0.0
bookNovels,SignOfFour,valence,4,22,45,7,death,HOME,,,,0.6073999999999999,1.0,0.0
bookNovels,SignOfFour,valence,4,22,46,8,powerful,HOME,,,,0.6428,1.0,0.0
bookNovels,SignOfFour,valence,5,24,47,9,will,HOME,,,,0.6199999999999999,1.0,0.0
bookNovels,SignOfFour,valence,5,24,48,10,clear,HOME,,,,0.6248,1.0,0.0
bookNovels,SignOfFour,valence,5,24,49,11,will,HOME,,,,0.6298,1.0,0.0
bookNovels,SignOfFour,valence,5,24,50,12,free,HIGH,1.0,0.0,3.0,0.8028000000000001,0.0,0.020275077200014868
bookNovels,SignOfFour,valence,5,24,51,13,room,HOME,,,,0.7756,1.0,0.0
bookNovels,SignOfFour,valence,5,24,52,14,reason,HIGH,1.0,0.0,4.0,0.7922,0.0,0.009675077200014814
bookNovels,SignOfFour,valence,5,24,53,15,fact,HOME,,,,0.7574,1.0,0.0
bookNovels,SignOfFour,valence,5,24,54,16,good,HIGH,1.0,0.0,5.0,0.8054,0.0,0.022875077200014804
bookNovels,SignOfFour,valence,5,24,55,17,deal,HOME,,,,0.77,1.0,0.0
