Identifier,speaker_id,emotion,speaker_utterance_index,global_utterance_index,speaker_rolling_window_index,speaker_word_index,speaker_word,speaker_emo_state_position,speaker_emo_state_is_peak,speaker_emo_displacement_counter,speaker_emo_displacement_number,speaker_emo_state_value,speaker_emo_in_home_base,speaker_emo_distance_home_base
bookSpeakers,Emma-Emma,valence,1,228,0,1,thought,HOME,,,,0.7954,1.0,0.0
bookSpeakers,Emma-Emma,valence,1,228,1,2,thought,HOME,,,,0.7722,1.0,0.0
bookSpeakers,Emma-Emma,valence,1,228,2,3,clear,HOME,,,,0.771,1.0,0.0
bookSpeakers,Emma-Emma,valence,1,228,3,4,wanting,HOME,,,,0.7834000000000001,1.0,0.0
bookSpeakers,Emma-Emma,valence,1,228,4,5,happen,HOME,,,,0.7708,1.0,0.0
bookSpeakers,Emma-Emma,valence,1,228,5,6,desirable,HOME,,,,0.7628,1.0,0.0
bookSpeakers,Emma-Emma,valence,1,228,6,7,probability,HOME,,,,0.7414,1.0,0.0
bookSpeakers,Emma-Emma,valence,1,228,7,8,congratulate,HOME,,,,0.7554000000000001,1.0,0.0
bookSpeakers,Emma-Emma,valence,1,228,8,9,dear,HOME,,,,0.7794000000000001,1.0,0.0
bookSpeakers,Emma-Emma,valence,1,228,9,10,feel,HIGH,0.0,-2.0,1.0,0.8044,0.0,0.003630312189703444
bookSpeakers,Emma-Emma,valence,1,228,10,11,pride,HIGH,0.0,-1.0,1.0,0.8022,0.0,0.0014303121897034643
bookSpeakers,Emma-Emma,valence,1,228,11,12,will,HIGH,1.0,0.0,1.0,0.8072000000000001,0.0,0.00643031218970358
bookSpeakers,Emma-Emma,valence,1,228,12,13,proper,HOME,,,,0.781,1.0,0.0
bookSpeakers,Emma-Emma,valence,1,228,13,14,will,HOME,,,,0.7446,1.0,0.0
bookSpeakers,Emma-Emma,valence,1,228,14,15,real,HOME,,,,0.728,1.0,0.0
bookSpeakers,Emma-Emma,valence,1,228,15,16,close,LOW,1.0,0.0,2.0,0.6406,0.0,0.004579030138421536
bookSpeakers,Emma-Emma,valence,1,228,16,17,confirm,HOME,,,,0.6614000000000001,1.0,0.0
bookSpeakers,Emma-Emma,valence,1,228,17,18,intimacy,HOME,,,,0.6736,1.0,0.0
bookSpeakers,Emma-Emma,valence,1,228,18,19,alliance,HOME,,,,0.6731999999999999,1.0,0.0
bookSpeakers,Emma-Emma,valence,1,228,19,20,raise,HOME,,,,0.7064,1.0,0.0
bookSpeakers,Emma-Emma,valence,1,228,20,21,blush,HOME,,,,0.7876000000000001,1.0,0.0
bookSpeakers,Emma-Emma,valence,2,245,21,22,will,HOME,,,,0.7668,1.0,0.0
