word,val
abate,0.696
abduct,0.72
abduction,0.99
aberrant,0.765
aberration,0.816
abhorrence,0.684
abhorrent,0.75
ablaze,0.847
abolition,0.69
abominable,0.731
abominate,0.788
abomination,0.755
abort,0.686
abortion,0.77
abortive,0.776
abrupt,0.819
abruptly,0.808
abundance,0.69
abuse,0.873
abused,0.874
abusive,0.903
abysmal,0.71
abyss,0.725
accelerant,0.844
accelerate,0.902
accelerated,0.812
acceleration,0.905
accelerator,0.83
accident,0.908
accidental,0.784
accidentally,0.741
acclaim,0.809
accomplish,0.673
accomplishment,0.694
accursed,0.745
accusation,0.718
accusative,0.755
accuse,0.752
accused,0.67
accuser,0.779
accusing,0.745
ache,0.76
achievement,0.808
aching,0.88
achy,0.84
acrobat,0.828
act,0.704
action,0.898
action figure,0.774
actionable,0.702
activation,0.8
active,0.73
ad,0.705
addict,0.696
addicted,0.712
addiction,0.806
addictive,0.683
admire,0.692
admirer,0.72
adolescence,0.694
adolescent,0.68
adoration,0.699
adrenalin,0.92
adrenaline,0.965
adulterated,0.865
adulterer,0.814
adultery,0.922
adventure,0.857
adventurer,0.839
adventures,0.764
adventurous,0.898
adversary,0.777
adversity,0.76
aerobics,0.771
aerodrome,0.74
aerodynamic,0.724
affront,0.74
affronted,0.75
afire,0.904
afraid,0.775
agglomeration,0.765
aggravate,0.77
aggravated,0.76
aggravates,0.778
aggravating,0.794
aggravation,0.784
aggresive,0.971
aggression,0.929
aggressive,0.949
aggressively,0.926
aggressiveness,0.913
aggressor,0.948
aghast,0.865
agility,0.702
agitate,0.796
agitated,0.882
agitation,0.931
agonizing,0.8
agony,0.775
agoraphobia,0.712
agressive,0.918
ailment,0.734
aircraft carrier,0.74
airliner,0.777
airman,0.716
airplane,0.702
airport,0.684
airspeed,0.78
airstrip,0.69
alarm,0.882
alarm clock,0.727
alarmed,0.822
alarming,0.89
alcoholic,0.688
alcoholism,0.779
alert,0.82
alertness,0.875
alerts,0.804
alligator,0.704
alluring,0.745
almighty,0.874
aloud,0.713
alreadyyyyy,0.717
alter,0.694
alteration,0.798
altercation,0.806
altered,0.765
amaze,0.843
amazed,0.779
amazedness,0.872
amazement,0.8
amazing,0.837
amazingly,0.765
ambition,0.804
ambitious,0.821
ambulance,0.75
ambush,0.83
ammo,0.765
amorous,0.67
amplification,0.677
amplify,0.735
amputation,0.755
amuse,0.684
amused,0.847
amusement,0.837
amusing,0.829
anaconda,0.83
anal,0.798
anarchism,0.804
anarchist,0.7
anarchy,0.755
aneurysm,0.69
anger,0.865
angered,0.86
angriest,0.892
angry,0.83
angst,0.888
anguish,0.792
anguished,0.72
animate,0.755
animated,0.676
animation,0.75
animosity,0.724
animus,0.676
annihilate,0.918
annihilated,0.76
annihilation,0.8
anniversary,0.77
annoy,0.765
annoyance,0.718
annoyed,0.783
annoying,0.853
annoys,0.778
anthrax,0.73
antichrist,0.837
antics,0.74
antigravity,0.714
antisocial,0.686
anxiety,0.865
anxietyattack,0.925
anxious,0.875
anxiousness,0.814
aphrodisiac,0.846
apocalypse,0.867
apocalyptic,0.88
appalled,0.792
appalling,0.827
appendectomy,0.67
applaud,0.824
applause,0.857
appointments,0.677
apprehension,0.72
arbitrary,0.702
ardent,0.873
ardor,0.78
arduous,0.783
argue,0.798
armada,0.74
armament,0.764
armaments,0.839
armed,0.75
army,0.759
arousal,0.943
aroused,0.952
arraignment,0.837
arrest,0.951
arrhythmia,0.706
arrogance,0.75
arrogant,0.755
arsenal,0.741
arson,0.904
arsonist,0.84
artifice,0.696
artillery,0.912
ascendant,0.673
ascension,0.72
asphyxia,0.704
asphyxiation,0.745
aspiration,0.724
ass,0.75
assailant,0.868
assassin,0.933
assassinate,0.969
assassination,0.941
assault,0.848
asset,0.765
asteroid,0.721
asteroids,0.694
asthmatic,0.706
astonish,0.845
astonished,0.775
astonishing,0.802
astonishingly,0.898
astonishment,0.718
astound,0.675
astray,0.676
athlete,0.718
athletic,0.798
athleticism,0.863
athletics,0.691
atomic,0.817
atone,0.673
atrocious,0.811
atrocity,0.844
attack,0.948
attacker,0.962
attacking,0.837
attentionseeker,0.745
attentionseekers,0.673
attest,0.71
attraction,0.774
auction,0.702
auctioneer,0.732
audacious,0.875
audacity,0.755
audition,0.685
auditions,0.765
augment,0.683
avalanche,0.915
avarice,0.726
avenge,0.867
avenger,0.865
avenging,0.88
aviator,0.7
award,0.745
awards,0.736
awe,0.74
awed,0.774
