word,val
abacus,0.276
abbot,0.321
abbreviation,0.306
abiding,0.327
aboard,0.284
abode,0.302
abovementioned,0.298
absence,0.235
absent,0.221
absentee,0.33
absenteeism,0.273
abstention,0.264
abstract,0.292
abutment,0.265
accept,0.286
acceptable,0.286
acceptance,0.287
accessory,0.292
accord,0.264
accountable,0.282
acorn,0.198
acoustics,0.33
acquaintance,0.29
acrylic,0.279
acupuncture,0.324
address,0.327
adequate,0.264
adherence,0.307
adjacent,0.276
adjective,0.316
adjust,0.327
adobe,0.319
advised,0.33
advisement,0.235
aesthetics,0.327
affiche,0.265
aforementioned,0.316
aga,0.327
age,0.226
agency,0.296
agenda,0.296
aging,0.255
ago,0.28
agree,0.26
agricultural,0.321
agua,0.18
aimless,0.267
air,0.163
airs,0.196
aisle,0.222
alas,0.31
albino,0.24
alfalfa,0.25
aligned,0.275
alike,0.173
aliquot,0.31
alleviate,0.27
alleviation,0.2
allied,0.245
allusion,0.308
ally,0.32
almanac,0.19
almond,0.183
alone,0.167
alphabet,0.204
alphabetical,0.296
altar boy,0.206
altogether,0.324
aluminum,0.28
amber,0.308
amen,0.182
amenity,0.327
amiable,0.29
amicable,0.33
amidst,0.33
amnesia,0.33
amulet,0.26
ana,0.3
anaesthesia,0.217
anaesthetic,0.268
anagram,0.327
analgesic,0.321
analogous,0.27
analogue,0.32
analytical,0.324
anchor,0.284
anchorage,0.325
ancient,0.217
anemia,0.327
anemic,0.279
anesthesia,0.216
anesthesiologist,0.224
anesthetic,0.264
angel,0.158
angelic,0.298
angle,0.33
angular,0.281
ankle,0.274
anklet,0.276
annual,0.236
annuity,0.304
anonymity,0.255
anonymous,0.291
ant,0.216
ante,0.32
antenna,0.327
anterior,0.245
antiquarian,0.233
antique,0.29
apathetic,0.292
apathy,0.212
apiece,0.259
apostolic,0.3
apothecary,0.328
appease,0.278
apple,0.3
apple juice,0.204
applesauce,0.167
apply,0.321
appoint,0.33
apricot,0.32
apron,0.208
aqua,0.292
aquamarine,0.306
aquarium,0.327
aqueous,0.27
archaic,0.327
archbishop,0.28
archdiocese,0.321
archive,0.294
area,0.306
arena,0.235
arm,0.285
armchair,0.164
aroma,0.235
aromatherapy,0.22
artichoke,0.218
article,0.28
articles,0.324
artisan,0.33
ash,0.21
ashes,0.279
asleeep,0.21
asleep,0.1
asparagus,0.317
aspen,0.28
asphalt,0.264
aspirin,0.271
assuage,0.255
assumed,0.247
assured,0.327
asterisk,0.288
asylum,0.33
atelier,0.33
atlas,0.306
atmosphere,0.3
atpeace,0.298
attenuate,0.302
attenuated,0.28
attic,0.259
auburn,0.24
aught,0.135
august,0.292
aunt,0.291
auntie,0.275
aurora,0.306
autobiography,0.284
autumn,0.204
average,0.28
avocado,0.255
await,0.264
awning,0.186
axial,0.278
axis,0.25
axle,0.294
azure,0.256
backboard,0.259
backdrop,0.309
backpack,0.278
backseat,0.33
backyard,0.28
bag,0.25
baggy,0.278
bait,0.327
balance,0.265
balanced,0.255
bald,0.184
ballad,0.284
balloon,0.245
balm,0.275
balmy,0.327
balsam,0.25
balsamic,0.283
bamboo,0.222
banana,0.23
bandage,0.327
bandanna,0.276
bank,0.327
banking,0.327
barely,0.183
barley,0.212
barometer,0.273
barrel,0.298
base,0.298
baseboard,0.198
bases,0.236
basic,0.102
basics,0.311
basil,0.274
basilica,0.302
basin,0.231
basis,0.26
bask,0.33
basket,0.227
bass,0.206
bath,0.26
bathe,0.294
bathing,0.276
bathroom,0.283
bathtub,0.24
baton,0.235
batter,0.245
be,0.24
beading,0.32
bean,0.269
beanie,0.23
beard,0.261
bed,0.173
bedding,0.276
bedroom,0.296
bedside,0.167
bedspread,0.139
bedtime,0.314
beef,0.312
behold,0.284
beige,0.222
bellhop,0.287
bellman,0.25
bellybutton,0.283
belt,0.322
bench,0.289
bend,0.324
beneath,0.173
beret,0.24
biased,0.302
bible,0.225
biblical,0.304
bibliography,0.204
bicolor,0.327
biennial,0.309
billboard,0.317
bimonthly,0.298
bin,0.304
binder,0.25
binoculars,0.309
bio,0.225
biography,0.229
biology,0.274
birthplace,0.29
biscuit,0.26
bishop,0.184
bit,0.31
bitty,0.271
bitumen,0.235
blackboard,0.255
blameless,0.196
bland,0.226
blank,0.229
blanket,0.132
blase,0.31
bleach,0.282
bless,0.269
blessed,0.279
blessing,0.264
blink,0.316
blossom,0.275
blot,0.304
