word,val
aaaaaaah,0.291
aaaah,0.282
aardvark,0.437
aback,0.288
abacus,0.485
abalone,0.412
abandon,0.245
abandoned,0.13
abandonment,0.202
abashed,0.307
abate,0.604
abatement,0.336
abba,0.48
abbey,0.444
abbot,0.483
abbreviate,0.33
abbreviation,0.345
abdomen,0.471
abdominal,0.445
abduct,0.615
abduction,0.673
aberrant,0.431
aberration,0.417
abeyance,0.292
abhor,0.349
abhorrence,0.42
abhorrent,0.474
abide,0.705
abiding,0.75
ability,0.816
abject,0.417
ablation,0.5
ablaze,0.525
able,0.81
abnormal,0.309
abnormality,0.383
aboard,0.481
abode,0.5
abolish,0.529
abolition,0.529
abominable,0.482
abominate,0.366
abomination,0.518
aboriginal,0.542
abort,0.429
abortion,0.283
abortive,0.28
abound,0.681
abovementioned,0.509
abracadabra,0.434
abrasion,0.441
abrasive,0.593
abreast,0.519
abroad,0.561
abrogate,0.594
abrupt,0.545
abruptly,0.556
abscess,0.349
absence,0.266
absent,0.116
absentee,0.279
absenteeism,0.357
absinthe,0.462
absolute,0.827
absolution,0.664
absolve,0.66
absorb,0.67
absorbed,0.519
absorbent,0.718
absorbing,0.578
absorption,0.446
abstain,0.427
abstention,0.509
abstinence,0.429
abstract,0.444
abstraction,0.525
absurd,0.284
absurdity,0.227
abundance,0.852
abundant,0.76
abuse,0.469
abused,0.235
abusive,0.567
abutment,0.616
aby,0.368
abysmal,0.598
abyss,0.296
academic,0.812
academy,0.792
accede,0.537
accelerant,0.802
accelerate,0.759
accelerated,0.682
acceleration,0.843
accelerator,0.812
accent,0.509
accentuate,0.667
accept,0.565
acceptable,0.583
acceptance,0.755
acceptances,0.648
access,0.567
accessible,0.645
accession,0.636
accessory,0.445
accident,0.336
accidental,0.307
accidentally,0.333
acclaim,0.718
accolade,0.775
accommodate,0.566
accommodation,0.587
accompaniment,0.695
accompany,0.585
accompanying,0.582
accomplice,0.51
accomplish,0.816
accomplished,0.798
accomplishment,0.888
accord,0.382
accordance,0.6
accordion,0.361
account,0.472
accountability,0.833
accountable,0.777
accountant,0.639
accounting,0.677
accounts,0.471
accredited,0.768
accretion,0.672
accrue,0.602
accueil,0.47
accumulate,0.607
accumulation,0.6
accuracy,0.802
accurate,0.737
accursed,0.345
accusation,0.564
accusative,0.482
accuse,0.5
accused,0.42
accuser,0.615
accusing,0.324
accustomed,0.441
ace,0.546
acetic,0.519
acetylene,0.509
ache,0.312
achieve,0.843
achieved,0.775
achievement,0.759
aching,0.348
achy,0.373
acid,0.566
acidity,0.36
acknowledge,0.661
acknowledged,0.765
acknowledgement,0.83
acknowledgment,0.777
acme,0.375
acne,0.308
acorn,0.192
acoustic,0.536
acoustics,0.509
acquaint,0.639
acquaintance,0.67
acquainted,0.632
acquiescence,0.554
acquire,0.7
acquiring,0.817
acquisition,0.736
acquisitions,0.79
acquit,0.611
acquittal,0.7
acre,0.423
acreage,0.528
acres,0.5
acrobat,0.602
acrylic,0.42
act,0.735
acting,0.5
action,0.802
action figure,0.611
actionable,0.613
activate,0.806
activation,0.754
active,0.731
activist,0.877
activity,0.807
actor,0.629
actress,0.596
actual,0.716
actuality,0.6
actuary,0.491
acuity,0.741
acumen,0.679
acupuncture,0.549
acute,0.534
acutely,0.491
ad,0.558
adage,0.566
adamant,0.575
adapt,0.551
adaptable,0.641
adaptation,0.609
add,0.554
added,0.509
addendum,0.418
adder,0.588
addict,0.327
addicted,0.483
addiction,0.42
addictive,0.472
addition,0.471
additional,0.526
additive,0.691
address,0.567
addressee,0.538
addresses,0.45
adept,0.789
adequacy,0.702
adequate,0.705
adhere,0.554
adherence,0.63
adherent,0.555
adhering,0.537
adhesion,0.586
adhesive,0.413
adieu,0.342
adipose,0.391
adjacency,0.375
adjacent,0.536
adjective,0.569
adjoining,0.393
adjourn,0.475
adjournment,0.37
adjudicate,0.683
adjudication,0.691
adjunct,0.426
adjust,0.638
adjuster,0.76
adjustment,0.661
adjuvant,0.456
admin,0.854
administer,0.86
administration,0.786
administrative,0.579
administrator,0.902
admirable,0.87
admiral,0.847
admiralty,0.733
admiration,0.726
admire,0.704
admired,0.815
admirer,0.65
admiring,0.629
admissibility,0.602
admissible,0.642
admission,0.732
admit,0.667
admittance,0.598
admitted,0.767
admitting,0.546
admixture,0.438
admonition,0.455
ado,0.385
adobe,0.328
adolescence,0.444
adolescent,0.509
adopt,0.701
adoption,0.589
adoptive,0.52
adorable,0.457
