word,val
abduction,0.673
abide,0.705
abiding,0.75
ability,0.816
able,0.81
abound,0.681
absolute,0.827
absorb,0.67
absorbent,0.718
abundance,0.852
abundant,0.76
academic,0.812
academy,0.792
accelerant,0.802
accelerate,0.759
accelerated,0.682
acceleration,0.843
accelerator,0.812
acceptance,0.755
acclaim,0.718
accolade,0.775
accompaniment,0.695
accomplish,0.816
accomplished,0.798
accomplishment,0.888
accountability,0.833
accountable,0.777
accounting,0.677
accredited,0.768
accretion,0.672
accuracy,0.802
accurate,0.737
achieve,0.843
achieved,0.775
achievement,0.759
acknowledged,0.765
acknowledgement,0.83
acknowledgment,0.777
acquaintance,0.67
acquire,0.7
acquiring,0.817
acquisition,0.736
acquisitions,0.79
acquittal,0.7
act,0.735
action,0.802
activate,0.806
activation,0.754
active,0.731
activist,0.877
activity,0.807
actual,0.716
acuity,0.741
acumen,0.679
additive,0.691
adept,0.789
adequacy,0.702
adequate,0.705
adjudicate,0.683
adjudication,0.691
adjuster,0.76
admin,0.854
administer,0.86
administration,0.786
administrator,0.902
admirable,0.87
admiral,0.847
admiralty,0.733
admiration,0.726
admire,0.704
admired,0.815
admission,0.732
admitted,0.767
adopt,0.701
adoration,0.708
adoring,0.717
adrenalin,0.786
adrenaline,0.825
adult,0.787
advance,0.858
advanced,0.797
advancement,0.839
advancing,0.812
advantage,0.859
advantageous,0.789
adventure,0.71
adventurer,0.868
adventures,0.749
adventurous,0.722
advice,0.688
advise,0.705
adviser,0.705
advisor,0.689
advocacy,0.731
advocate,0.818
aerodrome,0.678
aerodynamic,0.728
aerodynamics,0.722
aeronautics,0.688
aerospace,0.779
affection,0.696
affirm,0.731
affirmation,0.689
affirmative,0.816
affirmatively,0.811
affluence,0.722
afire,0.675
agent,0.755
aggregation,0.694
aggressively,0.688
aggressor,0.823
agile,0.775
agility,0.815
aglow,0.797
agreeable,0.696
agreement,0.736
agressive,0.751
ahead,0.673
aircraft,0.691
aircraft carrier,0.727
airline,0.688
airman,0.721
airplane,0.708
airport,0.682
alarm,0.698
alchemy,0.693
alderman,0.691
alertness,0.75
alerts,0.673
alignment,0.683
alive,0.731
allegiance,0.75
alliance,0.769
allocate,0.672
allocation,0.679
allure,0.686
alluring,0.843
ally,0.688
almighty,0.958
aloft,0.7
aloud,0.75
alpha,0.755
alphabet,0.672
altitude,0.736
alto,0.73
amaze,0.783
amazing,0.849
amazingly,0.92
ambassador,0.917
ambitious,0.717
ameliorate,0.747
amnesty,0.814
ample,0.719
amplification,0.81
amplify,0.827
amplitude,0.692
amply,0.766
amusement,0.803
analysis,0.705
analyst,0.755
analytical,0.8
analyze,0.71
analyzer,0.854
anarchist,0.759
ancestral,0.75
ancestry,0.717
angel,0.704
annihilate,0.681
anniversary,0.723
announcer,0.732
answerable,0.75
antagonist,0.7
anthem,0.729
anthropologist,0.725
anticipation,0.711
anticipatory,0.682
apocalypse,0.736
apocalyptic,0.75
apostle,0.732
apostolic,0.717
appetizing,0.688
applicability,0.741
applicant,0.688
application,0.726
appraisal,0.682
appraise,0.696
appreciable,0.778
appreciate,0.741
appreciated,0.779
apprehend,0.696
approbate,0.86
approbation,0.774
appropriate,0.759
appropriation,0.717
approval,0.889
approve,0.741
approved,0.698
approvement,0.78
approving,0.773
aptitude,0.746
arbiter,0.814
arbitrary,0.686
arbitrate,0.682
arbitration,0.67
arbitrator,0.795
archaeologist,0.706
archaeology,0.691
archangel,0.708
archbishop,0.776
archdiocese,0.704
architect,0.836
architectural,0.67
architecture,0.694
ardent,0.722
argument,0.698
argumentation,0.76
argumentative,0.679
arise,0.725
aristocracy,0.842
aristocrat,0.811
aristocratic,0.676
armada,0.868
armament,0.81
armaments,0.83
armature,0.755
armed,0.808
armor,0.784
armored,0.861
armory,0.8
army,0.902
arousal,0.731
arranged,0.728
arrangement,0.683
arsenal,0.752
artful,0.778
artillery,0.794
artist,0.732
artistry,0.769
artists,0.741
artwork,0.679
ascend,0.812
ascendancy,0.7
ascendant,0.821
ascending,0.777
ascension,0.714
ascent,0.833
aspiration,0.675
aspire,0.722
assassinate,0.722
assemble,0.75
