word,val
abandon,0.052
abandoned,0.046
abandonment,0.128
abashed,0.177
abate,0.255
abduct,0.173
abduction,0.062
aberrant,0.146
aberration,0.125
abeyance,0.33
abhor,0.125
abhorrence,0.167
abhorrent,0.229
abiding,0.796
ability,0.875
ablaze,0.24
able,0.786
abnormal,0.137
abnormality,0.092
aboard,0.698
abolition,0.323
abominable,0.12
abominate,0.198
abomination,0.078
abort,0.153
abortion,0.082
abortive,0.09
abound,0.704
abracadabra,0.673
abroad,0.677
abrogate,0.327
abrupt,0.271
abruptly,0.25
abscess,0.154
absence,0.153
absent,0.177
absentee,0.235
absolution,0.715
absolve,0.684
abstention,0.271
abstinence,0.26
absurd,0.188
absurdity,0.115
abundance,0.812
abundant,0.958
abuse,0.071
abused,0.021
abusive,0.125
abysmal,0.25
academic,0.781
academy,0.704
accede,0.698
acceleration,0.704
accentuate,0.673
accept,0.847
acceptable,0.812
acceptance,0.833
acceptances,0.847
access,0.714
accessible,0.796
accident,0.125
accidental,0.319
accolade,0.688
accommodate,0.844
accommodation,0.817
accompaniment,0.74
accompany,0.833
accompanying,0.787
accomplish,0.929
accomplished,0.87
accomplishment,0.917
accord,0.898
accountability,0.755
accountable,0.709
accurate,0.743
accursed,0.135
accusation,0.073
accusative,0.198
accuse,0.133
accused,0.13
accuser,0.122
accusing,0.156
acetylene,0.306
ache,0.146
achieve,0.816
achieved,0.896
achievement,0.896
aching,0.053
achy,0.167
acid,0.265
acidity,0.156
acknowledge,0.786
acknowledged,0.714
acknowledgement,0.819
acknowledgment,0.796
acne,0.167
acquainted,0.906
acquire,0.833
acquiring,0.735
acquisition,0.698
acquisitions,0.773
acquittal,0.76
acreage,0.741
acrobat,0.708
acting,0.698
action,0.76
actionable,0.673
activate,0.764
activation,0.781
active,0.847
activity,0.701
actual,0.729
actuality,0.75
adapt,0.74
adaptable,0.735
add,0.728
addict,0.075
addicted,0.156
addiction,0.18
addictive,0.302
additional,0.673
adequate,0.854
adherence,0.76
adieu,0.25
admin,0.688
admirable,0.929
admiral,0.844
admiration,0.969
admire,0.867
admired,0.917
admirer,0.796
admiring,0.867
admissibility,0.802
admissible,0.78
admission,0.802
admittance,0.69
admitted,0.72
adolescent,0.781
adopt,0.694
adorable,0.969
adoration,0.885
adore,0.854
adoring,0.885
adorn,0.91
adornment,0.918
adrenalin,0.865
adrenaline,0.765
adult,0.815
adulterated,0.188
adulterer,0.229
adultery,0.12
advance,0.673
advanced,0.844
advancement,0.776
advancing,0.929
advantage,0.917
advantageous,0.837
adventure,0.917
adventurer,0.781
adventures,0.812
adventurous,0.969
adverse,0.323
adversity,0.276
advice,0.698
advisable,0.867
advise,0.76
advised,0.823
advisement,0.698
adviser,0.745
aerobics,0.708
aeroplane,0.714
aesthetic,0.708
aesthetics,0.847
affable,0.704
affection,0.898
affectionate,0.949
affections,0.76
affiliated,0.673
affinity,0.8
affirm,0.745
affirmation,0.75
affirmative,0.854
affirmatively,0.908
afflict,0.302
afflicted,0.271
affliction,0.294
affluent,0.756
affordable,0.84
affront,0.327
afraid,0.01
aftermath,0.312
aged,0.135
aggravate,0.224
aggravated,0.079
aggravates,0.108
aggravating,0.257
aggravation,0.071
aggregate,0.73
aggresive,0.059
aggression,0.094
aggressive,0.125
aggressively,0.25
aggressiveness,0.077
aggressor,0.146
agh,0.26
aghast,0.133
aghhh,0.281
agile,0.8
agility,0.72
aging,0.214
agitate,0.3
agitation,0.24
aglow,0.78
agnostic,0.306
ago,0.317
agonizing,0.083
agony,0.083
agoraphobia,0.127
agree,0.906
agreeable,0.906
agreed,0.797
agreeing,0.854
agreement,0.76
agressive,0.083
agricultural,0.686
ahead,0.708
aid,0.796
aide,0.724
ailing,0.094
ailment,0.146
aimless,0.15
air,0.708
airhead,0.271
airplane,0.719
airport,0.729
alarm,0.241
alarmed,0.188
alarming,0.204
alcohol,0.323
alcoholic,0.153
alcoholism,0.061
alienate,0.247
alimentation,0.781
alive,0.816
allegiance,0.917
allergic,0.135
allergy,0.296
alleviate,0.869
alleviation,0.735
alliance,0.696
allied,0.714
allocate,0.673
allow,0.698
allowable,0.698
allowance,0.673
allowed,0.73
allsmiles,0.786
allure,0.804
alluring,0.837
alluvial,0.323
ally,0.792
almanac,0.688
almighty,0.938
almond,0.698
aloft,0.771
aloha,0.698
aloof,0.189
alpha,0.708
altar,0.724
alteration,0.167
altercation,0.17
altered,0.255
altitude,0.708
altogether,0.833
alzheimers,0.194
amaze,0.896
amazed,0.796
amazedness,0.827
amazement,0.75
amazing,0.906
amazingly,0.918
ambience,0.735
ambiguity,0.164
ambiguous,0.265
ambush,0.281
ameliorate,0.77
amen,0.781
amend,0.688
amenity,0.75
amiable,0.847
amicable,0.875
ammo,0.323
ammonia,0.292
amnesia,0.296
amorous,0.844
amorphous,0.327
amour,0.865
amphetamines,0.133
ample,0.744
amplification,0.69
amplify,0.677
amplitude,0.694
amply,0.781
amputate,0.092
amputation,0.1
amulet,0.781
amuse,0.812
amused,0.942
amusement,0.929
amusing,0.96
anaconda,0.146
analysis,0.729
anarchism,0.125
anarchist,0.204
anarchy,0.146
anathema,0.286
ancestry,0.708
androgen,0.255
anemia,0.188
anemic,0.167
aneurysm,0.115
anew,0.771
angel,0.906
angelic,0.927
anger,0.167
angered,0.01
angermanagement,0.26
angina,0.23
angriest,0.094
angry,0.122
angrytweet,0.265
angst,0.167
anguish,0.153
anguished,0.135
animate,0.827
animated,0.823
animation,0.888
animus,0.698
annihilate,0.115
annihilated,0.08
annihilation,0.041
anniversary,0.88
announce,0.694
announcement,0.729
annoy,0.094
annoyance,0.167
annoyed,0.104
annoyin,0.26
annoying,0.082
annoys,0.146
annul,0.25
annular,0.31
annulment,0.153
anomalous,0.281
anomaly,0.188
anorexic,0.16
answerable,0.708
answering,0.684
antagonism,0.224
antagonist,0.24
antagonistic,0.296
antagonize,0.143
anthem,0.78
anthill,0.327
anthrax,0.188
antiaircraft,0.33
antichrist,0.082
anticipation,0.698
antipathy,0.198
antisocial,0.146
antithetical,0.271
anxiety,0.146
anxietyattack,0.15
anxious,0.281
anxiousness,0.235
apache,0.687
apartment,0.719
apartments,0.704
apathetic,0.188
apathy,0.184
aphrodisiac,0.75
apocalypse,0.05
apocalyptic,0.173
appalled,0.194
appalling,0.16
apparel,0.698
appear,0.735
appellant,0.327
appendage,0.229
appendectomy,0.177
appendicitis,0.031
appetite,0.704
appetizer,0.755
appetizing,0.806
applaud,0.865
applause,0.953
apple,0.811
apple juice,0.765
applesauce,0.75
applicability,0.677
appointment,0.688
appointments,0.745
apportion,0.677
appraise,0.677
appreciable,0.873
appreciate,0.885
appreciated,0.91
appreciates,0.765
appreciation,0.917
appreciative,0.857
apprenticeship,0.812
approaching,0.74
approbation,0.792
appropriate,0.833
approval,0.854
approve,0.875
approved,0.833
approvement,0.88
approving,0.917
apricot,0.708
aptitude,0.75
aquamarine,0.729
aquatic,0.677
arbitrary,0.281
arcade,0.676
archaeological,0.74
archaic,0.271
archangel,0.837
archipelago,0.745
architect,0.776
architectural,0.729
architecture,0.82
ardent,0.694
argh,0.26
arghh,0.292
arghhhh,0.25
argue,0.093
arid,0.323
arise,0.75
aristocracy,0.688
armament,0.198
armaments,0.192
armed,0.188
armpit,0.283
aroma,0.823
aromatherapy,0.847
arousal,0.791
arouse,0.74
aroused,0.708
arrange,0.74
arranged,0.698
arrears,0.286
arrest,0.146
arrhythmia,0.265
arrival,0.678
arrive,0.837
arrogance,0.143
arrogant,0.115
arsehole,0.276
arseholes,0.188
arsenic,0.281
arson,0.133
art,0.812
artful,0.771
arthritis,0.11
articulate,0.677
artifice,0.316
artificial,0.306
artisan,0.781
artist,0.802
artiste,0.844
artistic,0.802
artistry,0.823
artists,0.796
artwork,0.896
ascend,0.83
ascendancy,0.724
ascending,0.826
ascension,0.765
ascent,0.755
ash,0.26
ashamed,0.156
ashes,0.327
asphyxia,0.198
asphyxiation,0.059
aspiration,0.704
aspire,0.812
aspiring,0.844
ass,0.323
assailant,0.184
assassin,0.073
assassinate,0.051
assassination,0.083
assault,0.167
assembly,0.698
assert,0.75
asserting,0.694
assertion,0.74
assertive,0.719
assess,0.698
assessment,0.75
