word,val
aaaaaaah,0.291
aaaah,0.282
aback,0.288
abandon,0.245
abandoned,0.13
abandonment,0.202
abashed,0.307
abbreviate,0.33
abeyance,0.292
abnormal,0.309
abortion,0.283
abortive,0.28
absence,0.266
absent,0.116
absentee,0.279
absurd,0.284
absurdity,0.227
abused,0.235
abyss,0.296
accidental,0.307
accusing,0.324
ache,0.312
acne,0.308
acorn,0.192
addict,0.327
adobe,0.328
adrift,0.23
afflict,0.293
afflicted,0.167
afraid,0.245
aged,0.236
aghhh,0.243
aging,0.284
ahhh,0.241
ahhhhhhhh,0.288
ailing,0.153
ailment,0.277
aimless,0.183
airhead,0.276
aisle,0.283
alas,0.279
alfalfa,0.311
allergic,0.273
almond,0.314
alone,0.216
aloof,0.302
alzheimers,0.319
amid,0.256
amidst,0.316
amnesia,0.308
amuck,0.321
ana,0.314
ancillary,0.278
anemia,0.31
anemic,0.155
anemone,0.327
anguish,0.265
anguished,0.307
ankle,0.234
anklet,0.302
annihilated,0.324
annoy,0.286
anon,0.298
anorexic,0.245
ant,0.216
antics,0.236
antiquated,0.236
anxiousness,0.282
apathy,0.204
apple,0.264
apple juice,0.294
applesauce,0.291
apricot,0.278
apron,0.245
aqueous,0.31
argh,0.328
arghhhh,0.324
armpit,0.25
arrears,0.302
artichoke,0.287
ash,0.207
ashamed,0.228
ashes,0.142
ashtray,0.265
asleeep,0.322
asleep,0.27
asparagus,0.264
aspartame,0.322
asphyxia,0.311
asshole,0.263
asterisk,0.273
asthma,0.227
asthmatic,0.294
astray,0.308
asunder,0.259
atrophy,0.208
attenuated,0.298
attrition,0.259
aught,0.217
avocado,0.287
avoiding,0.309
await,0.276
awe,0.3
awkwardness,0.148
awning,0.318
awry,0.275
ay,0.255
babble,0.204
babbling,0.241
backoff,0.24
backseat,0.237
backtrack,0.278
backward,0.25
backwardness,0.136
backwards,0.33
backwater,0.161
backyard,0.302
bacon,0.295
badhabit,0.311
badly,0.286
bag,0.314
bait,0.296
bald,0.268
ball,0.317
ballast,0.287
balloon,0.315
ballpoint,0.318
banana,0.241
bandage,0.286
bandanna,0.277
banishment,0.298
bankruptcy,0.209
barbie doll,0.33
bare,0.296
barefoot,0.241
barely,0.268
barks,0.325
barley,0.296
barren,0.221
basement,0.268
bashful,0.217
basil,0.309
bass,0.268
bass guitar,0.294
bassoon,0.31
bastard,0.289
bastarding,0.269
bath,0.263
bathtub,0.318
battered,0.306
batty,0.274
bauble,0.255
bayou,0.324
bean,0.264
beanie,0.263
bearish,0.324
beaten,0.265
bed,0.327
bedspread,0.292
bee,0.309
beep,0.304
beetle,0.295
befuddled,0.269
beg,0.328
beggar,0.116
begging,0.202
beholden,0.212
beige,0.224
belated,0.214
belch,0.24
belittle,0.25
belittled,0.226
bellboy,0.302
bellhop,0.318
bellow,0.212
bemused,0.278
beneath,0.233
bent,0.298
bereaved,0.221
beret,0.327
beset,0.317
betrayed,0.308
bewilder,0.289
bewildered,0.3
bewilderment,0.216
bide,0.282
bile,0.324
bimbo,0.3
bin,0.327
binder,0.308
birdcage,0.318
biscuit,0.231
bisque,0.312
bit,0.225
bitterness,0.27
bitty,0.257
bitumen,0.307
blackboard,0.287
blacken,0.228
bladder,0.33
blame,0.309
bland,0.157
blank,0.25
bleak,0.272
blemish,0.272
blighted,0.296
blinded,0.231
blindfolded,0.209
blindly,0.278
blindness,0.196
blink,0.324
bloat,0.298
blob,0.298
blockhead,0.148
bloodless,0.212
blossom,0.309
blot,0.223
blotched,0.264
blotter,0.28
blouse,0.302
blue,0.291
bluejay,0.31
blues,0.287
blunder,0.145
blur,0.205
blurred,0.231
blurry,0.218
blushing,0.288
bobsled,0.325
bogus,0.144
bollocks,0.327
bonkers,0.278
bony,0.33
boo,0.309
booby,0.185
bookworm,0.316
boooo,0.255
booth,0.31
bored,0.196
boredom,0.255
boring,0.125
borrow,0.282
bottleneck,0.287
bottom,0.291
bound,0.31
bouquet,0.306
bowling,0.309
bowls,0.277
box,0.312
bozo,0.298
bracelet,0.322
braid,0.216
brainless,0.224
brake,0.31
branch,0.25
brat,0.231
breathless,0.222
breve,0.191
brief,0.279
briefly,0.33
brim,0.33
brisket,0.222
bristle,0.326
brittle,0.272
broccoli,0.283
broil,0.33
broken,0.293
brokenhearted,0.227
broom,0.302
broomstick,0.227
broth,0.168
brown,0.293
brrr,0.282
brush,0.186
buckshot,0.322
buffoon,0.29
bug,0.246
buggy,0.327
