word,val
aaaaaaah,0.291
aaaah,0.282
aback,0.288
abandon,0.245
abandoned,0.13
abandonment,0.202
abashed,0.307
abbreviate,0.33
abduction,0.673
abeyance,0.292
abide,0.705
abiding,0.75
ability,0.816
able,0.81
abnormal,0.309
abortion,0.283
abortive,0.28
abound,0.681
absence,0.266
absent,0.116
absentee,0.279
absolute,0.827
absorb,0.67
absorbent,0.718
absurd,0.284
absurdity,0.227
abundance,0.852
abundant,0.76
abused,0.235
abyss,0.296
academic,0.812
academy,0.792
accelerant,0.802
accelerate,0.759
accelerated,0.682
acceleration,0.843
accelerator,0.812
acceptance,0.755
accidental,0.307
acclaim,0.718
accolade,0.775
accompaniment,0.695
accomplish,0.816
accomplished,0.798
accomplishment,0.888
accountability,0.833
accountable,0.777
accounting,0.677
accredited,0.768
accretion,0.672
accuracy,0.802
accurate,0.737
accusing,0.324
ache,0.312
achieve,0.843
achieved,0.775
achievement,0.759
acknowledged,0.765
acknowledgement,0.83
acknowledgment,0.777
acne,0.308
acorn,0.192
acquaintance,0.67
acquire,0.7
acquiring,0.817
acquisition,0.736
acquisitions,0.79
acquittal,0.7
act,0.735
action,0.802
activate,0.806
activation,0.754
active,0.731
activist,0.877
activity,0.807
actual,0.716
acuity,0.741
acumen,0.679
addict,0.327
additive,0.691
adept,0.789
adequacy,0.702
adequate,0.705
adjudicate,0.683
adjudication,0.691
adjuster,0.76
admin,0.854
administer,0.86
administration,0.786
administrator,0.902
admirable,0.87
admiral,0.847
admiralty,0.733
admiration,0.726
admire,0.704
admired,0.815
admission,0.732
admitted,0.767
adobe,0.328
adopt,0.701
adoration,0.708
adoring,0.717
adrenalin,0.786
adrenaline,0.825
adrift,0.23
adult,0.787
advance,0.858
advanced,0.797
advancement,0.839
advancing,0.812
advantage,0.859
advantageous,0.789
adventure,0.71
adventurer,0.868
adventures,0.749
adventurous,0.722
advice,0.688
advise,0.705
adviser,0.705
advisor,0.689
advocacy,0.731
advocate,0.818
aerodrome,0.678
aerodynamic,0.728
aerodynamics,0.722
aeronautics,0.688
aerospace,0.779
affection,0.696
affirm,0.731
affirmation,0.689
affirmative,0.816
affirmatively,0.811
afflict,0.293
afflicted,0.167
affluence,0.722
afire,0.675
afraid,0.245
aged,0.236
agent,0.755
aggregation,0.694
aggressively,0.688
aggressor,0.823
aghhh,0.243
agile,0.775
agility,0.815
aging,0.284
aglow,0.797
agreeable,0.696
agreement,0.736
agressive,0.751
ahead,0.673
ahhh,0.241
ahhhhhhhh,0.288
ailing,0.153
ailment,0.277
aimless,0.183
aircraft,0.691
aircraft carrier,0.727
airhead,0.276
airline,0.688
airman,0.721
airplane,0.708
airport,0.682
aisle,0.283
alarm,0.698
alas,0.279
alchemy,0.693
alderman,0.691
alertness,0.75
alerts,0.673
alfalfa,0.311
alignment,0.683
alive,0.731
allegiance,0.75
allergic,0.273
alliance,0.769
allocate,0.672
allocation,0.679
allure,0.686
alluring,0.843
ally,0.688
almighty,0.958
almond,0.314
aloft,0.7
alone,0.216
aloof,0.302
aloud,0.75
alpha,0.755
alphabet,0.672
altitude,0.736
alto,0.73
alzheimers,0.319
amaze,0.783
amazing,0.849
amazingly,0.92
ambassador,0.917
ambitious,0.717
ameliorate,0.747
amid,0.256
amidst,0.316
amnesia,0.308
amnesty,0.814
ample,0.719
amplification,0.81
amplify,0.827
amplitude,0.692
amply,0.766
amuck,0.321
amusement,0.803
ana,0.314
analysis,0.705
analyst,0.755
analytical,0.8
analyze,0.71
analyzer,0.854
anarchist,0.759
ancestral,0.75
ancestry,0.717
ancillary,0.278
anemia,0.31
anemic,0.155
anemone,0.327
angel,0.704
anguish,0.265
anguished,0.307
ankle,0.234
anklet,0.302
annihilate,0.681
annihilated,0.324
anniversary,0.723
announcer,0.732
annoy,0.286
anon,0.298
anorexic,0.245
answerable,0.75
ant,0.216
antagonist,0.7
anthem,0.729
anthropologist,0.725
anticipation,0.711
anticipatory,0.682
antics,0.236
antiquated,0.236
anxiousness,0.282
apathy,0.204
apocalypse,0.736
apocalyptic,0.75
apostle,0.732
apostolic,0.717
appetizing,0.688
apple,0.264
apple juice,0.294
applesauce,0.291
applicability,0.741
applicant,0.688
application,0.726
appraisal,0.682
appraise,0.696
appreciable,0.778
appreciate,0.741
appreciated,0.779
apprehend,0.696
approbate,0.86
approbation,0.774
appropriate,0.759
appropriation,0.717
approval,0.889
approve,0.741
approved,0.698
approvement,0.78
approving,0.773
