word,val
abandonment,1
abduction,1
abrupt,1
accident,1
accidental,1
accidentally,1
accolade,1
advance,1
affront,1
aghast,1
alarm,1
alarming,1
alertness,1
alerts,1
allure,1
amaze,1
amazingly,1
ambush,1
angel,1
anomaly,1
apparition,1
applause,1
art,1
aspiration,1
assail,1
assessment,1
astonishingly,1
astonishment,1
attacking,1
avalanche,1
award,1
bang,1
banger,1
betray,1
bewildered,1
bewilderment,1
birthday,1
bizarre,1
blast,1
blessings,1
blindfold,1
blitz,1
bloodshed,1
bomb,1
bonus,1
break,1
brighten,1
buck,1
burlesque,1
cable,1
cadaver,1
camouflage,1
camouflaged,1
candid,1
captivate,1
carnage,1
catastrophe,1
catch,1
celebration,1
celebrity,1
ceremony,1
chance,1
changeable,1
chant,1
cheer,1
cheerful,1
cherish,1
chicane,1
chimera,1
chuckle,1
clamor,1
climax,1
clown,1
coincidence,1
compensate,1
complement,1
compliment,1
concealed,1
confession,1
conjure,1
coup,1
crash,1
cream,1
crescendo,1
crowning,1
curiosity,1
cyclone,1
daemon,1
dawn,1
deal,1
death,1
deceit,1
decoy,1
defy,1
delighted,1
deluge,1
destination,1
detonate,1
devastation,1
differently,1
dire,1
disaster,1
dismay,1
dismissal,1
disruption,1
dissolution,1
distress,1
disturbance,1
divergent,1
diversion,1
divorce,1
dolphin,1
dreadfully,1
dynamic,1
eager,1
earthquake,1
ecstatic,1
ejaculation,1
electric,1
elusive,1
embarrassment,1
embrace,1
emergency,1
enchant,1
enliven,1
entertainment,1
enthusiasm,1
enthusiast,1
epidemic,1
erotic,1
erratic,1
erupt,1
eruption,1
evanescence,1
examination,1
excavation,1
excel,1
excitation,1
excite,1
excited,1
excitement,1
exciting,1
exclaim,1
exhilaration,1
exigent,1
expect,1
experiment,1
explode,1
explosion,1
explosive,1
fainting,1
fanfare,1
favorable,1
fearfully,1
feat,1
feeling,1
festival,1
fete,1
fiesta,1
finally,1
flinch,1
flirt,1
fluke,1
foresee,1
fortune,1
frantic,1
freakish,1
frenetic,1
fright,1
frighten,1
frightened,1
frisky,1
gambler,1
gambling,1
gape,1
garish,1
gasp,1
gawk,1
generosity,1
gift,1
glimmer,1
glorify,1
godsend,1
good,1
goodness,1
graduation,1
gratify,1
greatness,1
greeting,1
grin,1
guess,1
gulp,1
hap,1
hermaphrodite,1
hero,1
heroic,1
heroism,1
highest,1
hilarious,1
hoax,1
holiness,1
honeymoon,1
hope,1
hopeful,1
horde,1
horror,1
howl,1
humanitarian,1
hypertrophy,1
hypothesis,1
illegitimate,1
illuminate,1
illumination,1
illusion,1
immediacy,1
immerse,1
improvisation,1
improvise,1
incendiary,1
incident,1
incontinence,1
independence,1
inexplicable,1
infant,1
infarct,1
infrequent,1
inheritance,1
