word,val
abandon,0.052
abandoned,0.046
abandonment,0.128
abashed,0.177
abate,0.255
abduct,0.173
abduction,0.062
aberrant,0.146
aberration,0.125
abeyance,0.33
abhor,0.125
abhorrence,0.167
abhorrent,0.229
ablaze,0.24
abnormal,0.137
abnormality,0.092
abolition,0.323
abominable,0.12
abominate,0.198
abomination,0.078
abort,0.153
abortion,0.082
abortive,0.09
abrogate,0.327
abrupt,0.271
abruptly,0.25
abscess,0.154
absence,0.153
absent,0.177
absentee,0.235
abstention,0.271
abstinence,0.26
absurd,0.188
absurdity,0.115
abuse,0.071
abused,0.021
abusive,0.125
abysmal,0.25
accident,0.125
accidental,0.319
accursed,0.135
accusation,0.073
accusative,0.198
accuse,0.133
accused,0.13
accuser,0.122
accusing,0.156
acetylene,0.306
ache,0.146
aching,0.053
achy,0.167
acid,0.265
acidity,0.156
acne,0.167
addict,0.075
addicted,0.156
addiction,0.18
addictive,0.302
adieu,0.25
adulterated,0.188
adulterer,0.229
adultery,0.12
adverse,0.323
adversity,0.276
afflict,0.302
afflicted,0.271
affliction,0.294
affront,0.327
afraid,0.01
aftermath,0.312
aged,0.135
aggravate,0.224
aggravated,0.079
aggravates,0.108
aggravating,0.257
aggravation,0.071
aggresive,0.059
aggression,0.094
aggressive,0.125
aggressively,0.25
aggressiveness,0.077
aggressor,0.146
agh,0.26
aghast,0.133
aghhh,0.281
aging,0.214
agitate,0.3
agitation,0.24
agnostic,0.306
ago,0.317
agonizing,0.083
agony,0.083
agoraphobia,0.127
agressive,0.083
ailing,0.094
ailment,0.146
aimless,0.15
airhead,0.271
alarm,0.241
alarmed,0.188
alarming,0.204
alcohol,0.323
alcoholic,0.153
alcoholism,0.061
alienate,0.247
allergic,0.135
allergy,0.296
alluvial,0.323
aloof,0.189
alteration,0.167
altercation,0.17
altered,0.255
alzheimers,0.194
ambiguity,0.164
ambiguous,0.265
ambush,0.281
ammo,0.323
ammonia,0.292
amnesia,0.296
amorphous,0.327
amphetamines,0.133
amputate,0.092
amputation,0.1
anaconda,0.146
anarchism,0.125
anarchist,0.204
anarchy,0.146
anathema,0.286
androgen,0.255
anemia,0.188
anemic,0.167
aneurysm,0.115
anger,0.167
angered,0.01
angermanagement,0.26
angina,0.23
angriest,0.094
angry,0.122
angrytweet,0.265
angst,0.167
anguish,0.153
anguished,0.135
annihilate,0.115
annihilated,0.08
annihilation,0.041
annoy,0.094
annoyance,0.167
annoyed,0.104
annoyin,0.26
annoying,0.082
annoys,0.146
annul,0.25
annular,0.31
annulment,0.153
anomalous,0.281
anomaly,0.188
anorexic,0.16
antagonism,0.224
antagonist,0.24
antagonistic,0.296
antagonize,0.143
anthill,0.327
anthrax,0.188
antiaircraft,0.33
antichrist,0.082
antipathy,0.198
antisocial,0.146
antithetical,0.271
anxiety,0.146
anxietyattack,0.15
anxious,0.281
anxiousness,0.235
apathetic,0.188
apathy,0.184
apocalypse,0.05
apocalyptic,0.173
appalled,0.194
appalling,0.16
appellant,0.327
appendage,0.229
appendectomy,0.177
appendicitis,0.031
arbitrary,0.281
archaic,0.271
argh,0.26
arghh,0.292
arghhhh,0.25
argue,0.093
arid,0.323
armament,0.198
armaments,0.192
armed,0.188
armpit,0.283
arrears,0.286
arrest,0.146
arrhythmia,0.265
arrogance,0.143
arrogant,0.115
arsehole,0.276
arseholes,0.188
arsenic,0.281
arson,0.133
arthritis,0.11
artifice,0.316
artificial,0.306
ash,0.26
ashamed,0.156
ashes,0.327
asphyxia,0.198
asphyxiation,0.059
ass,0.323
assailant,0.184
assassin,0.073
assassinate,0.051
assassination,0.083
assault,0.167
asshole,0.133
asthma,0.198
asthmatic,0.229
astigmatism,0.214
astray,0.098
astringent,0.316
asunder,0.208
atheism,0.276
atherosclerosis,0.25
atomic,0.327
atrocious,0.073
atrocity,0.115
atrophy,0.177
attack,0.286
attacker,0.185
attacking,0.276
attestation,0.234
attrition,0.229
autism,0.235
autopsy,0.252
avalanche,0.265
avarice,0.198
avenge,0.073
avenging,0.143
averse,0.253
averseness,0.296
aversion,0.074
awful,0.061
awkward,0.296
awkwardness,0.167
awry,0.156
axe,0.296
axis,0.209
backdrop,0.32
backfire,0.265
backoff,0.104
backside,0.182
backtrack,0.312
backward,0.309
backwardness,0.24
backwards,0.302
backwater,0.312
bacteria,0.177
bacterial,0.156
bacterium,0.194
bad,0.125
badass,0.255
badday,0.327
badfeeling,0.25
badhabit,0.184
badly,0.073
badness,0.094
baffled,0.151
bait,0.276
bald,0.306
balding,0.302
balk,0.229
ballistic,0.26
ballistics,0.271
ban,0.146
bandage,0.22
bandit,0.094
bane,0.265
bang,0.265
banish,0.163
banished,0.052
banishment,0.16
bankrupt,0.163
bankruptcy,0.01
barbarian,0.323
barbaric,0.235
barbarism,0.19
barbed,0.177
barred,0.143
barren,0.173
barricade,0.323
barring,0.292
baseless,0.292
bastard,0.094
bastarding,0.104
bastards,0.082
bat,0.324
baton,0.272
battered,0.08
battering,0.21
battled,0.292
battlefield,0.133
battleground,0.156
battlements,0.276
bawdy,0.184
bayonet,0.263
bazooka,0.302
beast,0.214
beastly,0.146
beat,0.279
beaten,0.083
beating,0.153
beetle,0.323
befuddled,0.156
beg,0.292
beggar,0.24
begging,0.292
begrudge,0.177
beholden,0.296
belated,0.24
belch,0.194
belittle,0.122
belittled,0.177
bellow,0.248
bemused,0.281
bereaved,0.104
bereavement,0.265
bereft,0.229
berth,0.295
beseech,0.33
bestial,0.26
betray,0.042
betrayal,0.083
betrayed,0.122
betting,0.237
beware,0.151
bewilder,0.306
bewildered,0.23
bewilderment,0.312
biased,0.271
bicker,0.143
bickering,0.122
bigamy,0.327
biggestfear,0.062
bigoted,0.153
bile,0.157
bilge,0.316
binge,0.304
biopsy,0.323
bipolar,0.208
bitch,0.276
bitchy,0.188
bite,0.219
biter,0.26
bitter,0.218
bitterly,0.194
bitterness,0.115
blabbermouth,0.323
blacken,0.208
blackface,0.302
blacklist,0.133
blackmail,0.094
blackmailer,0.092
blackness,0.26
blackout,0.126
blame,0.115
bland,0.3
blasphemous,0.21
blasphemy,0.146
blast,0.167
blatant,0.327
bleak,0.204
bleed,0.041
bleeder,0.26
bleeding,0.135
blemish,0.219
blemished,0.173
blight,0.271
blighted,0.146
blinded,0.245
blindfolded,0.208
blinding,0.304
blindness,0.245
bloat,0.229
bloated,0.167
block,0.286
blockage,0.25
blockhead,0.163
blood,0.219
bloodbath,0.06
bloodhound,0.327
bloodless,0.292
bloodshed,0.048
bloodshot,0.188
bloodthirsty,0.052
bloody,0.031
blotched,0.133
blow,0.316
bluddy,0.312
blunder,0.135
blur,0.268
blurred,0.32
blurry,0.059
boa,0.255
boa constrictor,0.198
bog,0.302
bogus,0.219
boiling,0.302
bomb,0.167
bombard,0.156
bombardier,0.24
bombardment,0.146
bombed,0.051
bomber,0.125
bombers,0.173
bombing,0.167
bombshell,0.327
bondage,0.146
bones,0.281
bonkers,0.306
boo,0.153
boogeyman,0.292
boooo,0.271
booze,0.265
bored,0.153
boredom,0.167
borer,0.302
boring,0.194
boss,0.31
bossy,0.24
bother,0.208
bothering,0.208
bottleneck,0.284
bottomless,0.31
botulism,0.292
bout,0.208
bowel,0.306
bowels,0.194
boycott,0.112
brainless,0.138
brainwash,0.198
brake,0.312
brat,0.312
brawl,0.104
brazen,0.292
breach,0.177
breakable,0.194
breaker,0.323
breakneck,0.254
breakup,0.25
breathless,0.323
bribe,0.112
bribery,0.135
brick,0.217
brittle,0.276
broke,0.245
broken,0.062
brokenheart,0.115
brokenhearted,0.13
brooding,0.327
brothel,0.255
bruise,0.133
bruising,0.084
brunt,0.204
brutal,0.122
brutality,0.122
brute,0.115
brutish,0.27
bubonic,0.28
buckshot,0.255
bug,0.286
bugger,0.312
bulge,0.26
bulimic,0.092
bulkhead,0.312
bullheaded,0.229
bullock,0.281
bullshit,0.042
bully,0.257
bum,0.281
bummed,0.296
bummer,0.163
bump,0.286
bumpy,0.306
bunghole,0.286
bunion,0.276
burdensome,0.229
bureaucrat,0.208
bureaucratic,0.28
burglar,0.05
burglary,0.146
burial,0.203
buried,0.133
burlesque,0.327
burn,0.219
burned,0.163
burner,0.296
burning,0.229
